Language,#Words,Type-Token Ratio,#Sents.,Word Length,#Words (pp),Function Words Ratio (pp),Word Length (pp),color
English,6405,29%,287,4.79,64,52%,4.830273798080301,#F43F5E
German,6013,37%,327,5.89,56,53%,5.967729592513772,#F43F5E
Swiss German,6147,35%,827,5.24,57,22%,5.338926672453004,#F43F5E
Dutch,6511,31%,343,5.22,63,54%,5.256080203442421,#F43F5E
Danish,5924,35%,317,5.19,59,49%,5.298080643378486,#F43F5E
Swedish,5813,37%,322,5.27,58,49%,5.36639700547888,#F43F5E
Norwegian,5806,35%,351,5.11,58,50%,5.252776208323233,#F43F5E
Basque,5089,49%,314,6.71,40,18%,6.80266231532116,#6366F1
Catalan,6937,29%,289,4.63,69,50%,4.646330190832822,#F59E0B
Spanish,6938,31%,297,4.98,69,55%,4.991435699608344,#F59E0B
Portuguese,6643,32%,310,4.92,65,52%,4.925111661029618,#F59E0B
Italian,6321,35%,333,5.24,61,51%,5.27582181798052,#F59E0B
Romansh,6862,32%,300,5.05,67,0%,5.09163121483031,#F59E0B
Romanian,6318,38%,302,5.18,63,46%,5.273539094123873,#F59E0B
Galician,6618,34%,291,5.02,66,42%,5.034831555048321,#F59E0B
Slovenian,5654,45%,301,5.25,55,38%,5.357375677107734,#13501B
Croatian,5538,47%,298,5.48,54,33%,5.526938528692267,#13501B
Serbian,5634,47%,290,5.27,56,32%,5.340277370227779,#13501B
Macedonian,6071,39%,497,5.28,60,41%,5.325439384176999,#13501B
Polish,5431,50%,296,6.01,54,34%,6.061990002160732,#13501B
Czech,5305,50%,296,5.43,53,32%,5.462048732540382,#13501B
Ukrainian,5294,49%,297,5.73,52,36%,5.721209452934468,#13501B
Russian,5295,49%,287,6.01,52,37%,6.047099150462642,#13501B
Lithuanian,4920,54%,310,6.28,49,27%,6.341865423791557,#C084FC
Latvian,5089,50%,319,5.95,50,20%,5.969346635232264,#C084FC
Estonian,4605,56%,306,6.55,46,16%,6.625598078957105,#00B050
Finnish,4356,60%,307,7.49,42,32%,7.609638395700328,#00B050
Albanian,6747,34%,288,4.82,66,26%,4.858458141326883,#0D9488
Greek,6598,37%,327,5.45,65,50%,5.4837488531568575,#3B82F6
Turkish,4754,55%,330,6.5,47,21%,6.546395787438359,#F97316
Arabic,4953,54%,261,4.79,50,26%,4.800848486054228,#F87171
Hebrew,5002,58%,293,4.63,50,19%,4.662807986270147,#F87171
Hausa,7222,21%,284,4.43,70,33%,4.462785422030708,#4206EC
Hindi,7115,27%,103,4.04,69,44%,4.1415796646648895,#C220AB
Urdu,7609,22%,292,3.51,76,28%,3.5286787083670794,#C220AB
Farsi,5538,31%,100,3.82,55,49%,3.8616516069659896,#C220AB
Mandarin,6140,34%,284,1.74,60,47%,1.7932975280279333,#0F9ED5
Cantonese,5870,36%,101,1.75,58,24%,1.8545511377060686,#0F9ED5
Kalaallisut,3332,71%,283,12.15,31,0%,12.35799913619046,#2DD4BF
