Language,Lang@num. words,Lang@num. types,Lang@type token ratio,Lang@num. punct.,Lang@punct. ratio,Lang@num. function words,Lang@function words ratio,Lang@num. sentences,Lang@word length,Lang@mean Zipf freq.,Lang@median Zipf freq.,Lang@std Zipf freq.,Lang@num. PRON,Lang@PRON ratio,Lang@num. NOUN,Lang@NOUN ratio,Lang@num. VERB,Lang@VERB ratio,lang_code
English,6405,1885,29.43,959,14.97,3379,52.76,287,4.79,5.7517954722872755,5.81,1.4141851426914795,449,7.01,1532,23.92,748,11.68,en
German,6013,2251,37.44,1044,17.36,3268,54.35,327,5.89,5.405291867620157,5.68,1.6845781947196112,430,7.15,1473,24.5,596,9.91,de
Swiss German,6147,2179,35.45,1351,21.98,1437,23.38,827,5.24,0.0,0.0,0.0,286,4.65,1182,19.23,462,7.52,zd
Dutch,6511,2019,31.01,862,13.24,3545,54.45,343,5.22,5.690827829826447,5.97,1.68727232179089,474,7.28,1448,22.24,740,11.37,nl
Danish,5924,2067,34.89,986,16.64,2990,50.47,317,5.19,5.326210330857529,5.79,2.068763539663196,440,7.43,1471,24.83,721,12.17,da
Swedish,5813,2155,37.07,760,13.07,2911,50.08,322,5.27,5.361400309650783,5.67,1.771301653536265,547,9.41,1533,26.37,663,11.41,sv
Norwegian,5806,2052,35.34,846,14.57,2985,51.41,351,5.11,0.0,0.0,0.0,514,8.85,1416,24.39,685,11.8,no
Basque,5089,2495,49.03,1090,21.42,981,19.28,314,6.71,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,eu
Catalan,6937,2018,29.09,1233,17.77,3463,49.92,289,4.63,5.792010955744558,5.88,1.5743675161312911,391,5.64,1637,23.6,691,9.96,ca
Spanish,6938,2154,31.05,883,12.73,3868,55.75,297,4.98,5.749594984145287,5.76,1.6009119609289422,333,4.8,1656,23.87,638,9.2,es
Portuguese,6643,2121,31.93,1016,15.29,3479,52.37,310,4.92,5.648890561493301,5.71,1.5484840485547022,263,3.96,1693,25.49,808,12.16,pt
Italian,6321,2186,34.58,1081,17.1,3282,51.92,333,5.24,5.510128144280968,5.53,1.4862158832651249,273,4.32,1613,25.52,695,11.0,it
Romansh,6862,2180,31.77,1156,16.85,0,0.0,300,5.05,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,rm
Romanian,6318,2425,38.38,1011,16.0,3018,47.77,302,5.18,5.348687875910097,5.44,1.8046449609342912,421,6.66,1813,28.7,504,7.98,ro
Galician,6618,2228,33.67,921,13.92,2768,41.83,291,5.02,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,gl
Slovenian,5654,2554,45.17,979,17.32,2239,39.6,301,5.25,5.0169349133356915,5.06,1.9493938080768947,239,4.23,1610,28.48,598,10.58,sl
Croatian,5538,2603,47.0,821,14.82,1912,34.53,298,5.48,4.780971469844709,4.89,2.111368109344027,201,3.63,1680,30.34,574,10.36,hr
Serbian,5634,2655,47.12,884,15.69,1863,33.07,290,5.27,4.89223642172524,4.98,2.0273046602561537,0,0.0,0,0.0,0,0.0,sr
Macedonian,6071,2385,39.29,917,15.1,2603,42.88,497,5.28,5.216615055180366,5.25,1.8998848563444097,438,7.21,1624,26.75,641,10.56,mk
Polish,5431,2731,50.29,963,17.73,1895,34.89,296,6.01,4.908576689375806,4.87,1.68219858033264,273,5.03,1786,32.89,575,10.59,pl
Czech,5305,2670,50.33,905,17.06,1774,33.44,296,5.43,4.906959472196041,4.86,1.58683294779288,0,0.0,0,0.0,0,0.0,cs
Ukrainian,5294,2602,49.15,1185,22.38,1971,37.23,297,5.73,4.872478277295051,4.95,1.6504083183000717,234,4.42,1780,33.62,649,12.26,uk
Russian,5295,2615,49.39,1122,21.19,2032,38.38,287,6.01,4.950610009442871,4.88,1.5412044104777938,320,6.04,1697,32.05,730,13.79,ru
Lithuanian,4920,2636,53.58,1074,21.83,1365,27.74,310,6.28,4.542890243902439,4.78,1.9561023601126173,267,5.43,1755,35.67,892,18.13,lt
Latvian,5089,2567,50.44,1093,21.48,1041,20.46,319,5.95,4.68279819217921,4.88,2.0217853365018654,0,0.0,0,0.0,0,0.0,lv
Estonian,4605,2573,55.87,915,19.87,744,16.16,306,6.55,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,et
Finnish,4356,2627,60.31,852,19.56,1486,34.11,307,7.49,4.48191230486685,4.56,1.8021154013453038,428,9.83,1567,35.97,688,15.79,fi
Albanian,6747,2300,34.09,877,13.0,1815,26.9,288,4.82,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,sq
