Page@num. types,Page@function words ratio,Page@word length
47,51.99,4.830273798080301
46,53.32,5.967729592513772
46,53.64,5.256080203442421
47,49.21,5.298080643378486
47,48.91,5.36639700547888
46,49.52,5.252776208323233
36,18.5,6.80266231532116
49,49.65,4.646330190832822
49,55.09,4.991435699608344
49,51.76,4.925111661029618
49,51.02,5.27582181798052
50,46.48,5.273539094123873
51,41.52,5.034831555048321
47,38.04,5.357375677107734
46,33.27,5.526938528692267
47,31.81,5.340277370227779
47,40.63,5.325439384176999
47,33.84,6.061990002160732
46,32.18,5.462048732540382
47,36.34,5.721209452934468
45,37.29,6.047099150462642
44,26.59,6.341865423791557
44,20.17,5.969346635232264
41,15.66,6.625598078957105
38,32.3,7.609638395700328
49,26.35,4.858458141326883
52,49.69,5.4837488531568575
41,20.94,6.546395787438359
44,26.24,4.800848486054228
45,18.72,4.662807986270147
52,32.76,4.462785422030708
52,44.34,4.1415796646648895
54,27.97,3.5286787083670794
42,49.46,3.8616516069659896
47,46.8,1.7932975280279333
47,23.52,1.8545511377060688
29,0.0,12.35799913619046
